#Frame         mn_hd1       mn_hd2       mn_hd3
     432       2.0984       2.3413       2.2767
     433       2.6175       2.0671       2.3057
     434       2.3534       2.4529       2.1252
     435       2.4730       2.2571       2.2172
     436       2.3070       2.1617       2.3305
     437       2.3084       2.1750       2.1956
     438       2.6394       2.1515       2.3185
     439       2.2768       2.2546       2.2826
     440       2.5387       2.3398       2.2874
     441       2.4664       2.3680       2.1641
     442       2.3688       2.2231       2.1780
     443       2.4012       2.2572       2.2934
     444       2.4108       2.1677       2.3901
     445       2.4117       2.3667       2.2073
     446       2.4154       2.3420       2.2514
     447       2.3129       2.2136       2.3686
     448       2.3865       2.2106       2.2114
     449       2.3560       2.2646       2.2902
     450       2.3365       2.2979       2.1841
     451       2.2940       2.3190       2.2098
     452       2.5299       2.2626       2.4354
     453       2.5754       2.3323       2.2411
     454       2.1708       2.2802       2.1917
     455       2.3222       2.2071       2.3473
     456       2.6003       2.1930       2.1254
     457       2.2866       2.2169       2.2356
     458       2.2921       2.2033       2.1023
     459       2.1023       2.2406       2.2389
     460       2.3757       2.1862       2.2236
     461       2.2699       2.4324       2.2839
     462       2.3421       2.1716       2.2639
     463       2.6392       2.0735       2.3873
     464       2.4397       2.0890       2.2946
     465       2.4521       2.0824       2.3612
     466       2.3616       2.3068       2.2169
     467       2.5286       2.2944       2.2989
     468       2.6584       2.2744       2.3051
     469       2.4576       2.2668       2.3346
     470       2.6386       2.2041       2.3088
     471       2.3036       2.3240       2.2396
     472       2.2997       2.2073       2.1817
     473       2.5223       2.3287       2.0691
     474       2.4338       2.1448       2.1630
     475       2.4654       2.1231       2.2388
     476       2.4795       2.1476       2.3140
     477       2.3734       2.2771       2.2037
     478       2.4339       2.2768       2.1062
     479       2.4286       2.1710       2.2309
     480       2.2362       2.3238       2.3042
     481       2.3495       2.4239       2.1818
     482       2.4860       2.1706       2.3578
     483       2.4188       2.2916       2.3264
     484       2.5783       2.3057       2.1411
     485       2.4235       2.2580       2.3117
     486       2.3526       2.3047       2.1785
     487       2.3735       2.3914       2.2447
     488       2.6808       2.2602       2.2522
     489       2.1432       2.2410       2.2179
     490       2.5613       2.2008       2.2173
     491       2.1355       2.2923       2.3478
     492       2.4439       2.2216       2.3070
     493       2.3815       2.3367       2.2477
     494       2.5203       2.2375       2.2198
     495       2.4453       2.2397       2.1909
     496       2.4614       2.1362       2.3364
     497       2.4049       2.1943       2.3447
     498       2.4822       2.2078       2.1958
     499       2.3770       2.3556       2.0275
     500       2.6698       2.4135       2.2105
     501       2.4999       2.1563       2.2525
     502       2.4666       2.2898       2.2269
     503       2.5394       2.0255       2.0805
     504       2.6125       2.2895       2.2543
     505       2.5510       2.1942       2.2024
     506       2.6969       2.3162       2.1104
     507       2.2637       2.3094       2.2645
     508       2.3919       2.2271       2.3161
     509       2.3824       2.1578       2.2039
     510       2.4165       2.2075       2.1976
     511       2.1483       2.2208       2.4408
     512       2.3025       2.1930       2.3149
     513       2.4692       2.1370       2.2663
     514       2.5119       2.0484       2.3302
     515       2.2753       2.3026       2.1914
     516       2.2081       2.2374       2.2486
     517       2.4890       2.2355       2.2301
     518       2.3070       2.1924       2.3058
     519       2.1580       2.3735       2.2303
     520       2.5932       2.2627       2.4099
     521       2.3983       2.2199       2.1365
     522       2.5005       2.2417       2.1656
     523       2.4732       2.4756       2.2547
     524       2.2902       2.4044       2.3620
     525       2.3763       2.3401       2.2775
     526       2.2541       2.0615       2.3745
     527       2.3100       2.3604       2.2350
     528       2.4659       2.3271       2.2127
     529       2.4987       2.2186       2.3311
     530       2.3167       2.1752       2.1498
     531       2.3123       2.2034       2.1126
     532       2.3939       2.3602       2.1581
     533       2.3994       2.1325       1.9797
     534       2.3631       2.1416       2.2636
     535       2.2723       2.1735       2.0836
     536       2.4076       2.1459       2.3595
     537       2.3969       2.3967       2.1238
     538       2.6624       2.1840       2.0307
     539       2.5686       2.3038       2.2698
     540       2.3639       2.1914       2.1806
     541       2.4728       2.2263       2.2413
     542       2.5609       2.2377       2.0962
     543       2.5554       2.1772       2.2957
     544       2.4232       2.3082       2.3751
     545       2.6336       2.2245       2.2489
     546       2.4044       2.3699       2.3138
     547       2.3876       2.1712       2.2254
     548       2.5504       2.2497       2.1567
     549       2.3949       2.2771       2.0912
     550       2.6304       2.4135       2.4436
     551       2.2166       2.3871       2.4073
     552       2.1842       2.3224       2.3252
     553       2.3447       2.3822       2.1192
     554       2.2602       2.2462       2.2451
     555       2.3963       2.2363       2.3130
     556       2.5802       2.1218       2.1302
     557       2.2701       2.2708       2.3125
     558       2.4105       2.2051       2.2212
     559       2.3171       2.3940       2.3326
     560       2.3911       2.2782       2.2868
     561       2.5338       2.3352       2.2365
