#Frame            rog     rog[Max]
     382      24.1455      50.1232
     383      24.0963      49.7977
     384      23.9630      34.6352
     385      24.1844      50.2478
     386      24.2034      49.7884
     387      24.1450      49.2317
     388      24.0423      35.1461
     389      24.1165      34.2614
     390      24.0221      34.7672
     391      24.1252      48.8764
     392      24.0550      48.0706
     393      24.1545      47.5018
     394      24.2226      48.5636
     395      24.1038      48.0607
     396      24.1494      48.6074
     397      24.2537      49.7878
     398      24.1573      49.1330
     399      24.2232      48.9408
     400      24.1517      49.0770
     401      24.1625      35.4337
     402      24.1288      34.7491
     403      24.1764      49.4107
     404      24.0008      34.7750
     405      24.1351      36.0369
     406      24.0708      49.3431
     407      24.1038      50.8182
     408      24.2210      51.3401
     409      24.1814      50.1338
     410      24.2102      50.1961
     411      24.1754      35.0757
     412      24.2382      50.3163
     413      24.2493      50.6911
     414      24.1738      35.4364
     415      24.1713      36.3507
     416      24.1289      35.2772
     417      24.1827      34.9268
     418      24.2439      49.4237
     419      24.3028      35.7062
     420      24.1493      35.4227
     421      24.0899      35.3804
     422      24.1291      34.8384
     423      24.2294      35.7877
     424      24.1782      35.3150
     425      24.1458      49.1946
     426      23.9757      48.2492
     427      23.9719      34.2717
     428      24.0170      37.0078
     429      24.0860      37.7209
     430      24.1440      36.9702
     431      23.9492      36.7249
     432      24.0349      37.5572
     433      23.9602      37.1823
     434      23.9959      37.4356
     435      23.9664      36.8000
     436      23.9405      37.3701
     437      24.0261      36.3707
     438      24.0386      37.5147
     439      24.0408      36.3991
     440      24.0456      36.0326
     441      24.0484      38.2145
     442      24.0775      38.3493
     443      24.1721      38.8970
     444      24.0811      37.3027
     445      24.1176      38.6619
     446      24.0187      38.5772
     447      24.2199      39.9612
     448      24.1529      40.9259
     449      24.1911      39.6254
     450      24.2621      39.4454
     451      24.1624      39.3843
     452      24.0984      38.7034
     453      23.9906      39.7865
     454      24.0806      39.1678
     455      24.1959      39.1417
     456      24.1408      38.2319
     457      24.1603      38.9331
     458      24.2446      38.9530
     459      24.1044      38.8621
     460      24.1688      38.1681
     461      23.9981      39.0974
     462      24.1453      38.4400
     463      24.1024      39.2257
     464      24.0905      38.2629
     465      24.1363      38.6477
     466      24.1777      38.8633
     467      24.2623      39.9337
     468      24.3428      41.5689
     469      24.2649      39.6335
     470      24.2546      40.6289
     471      24.2851      38.8697
     472      24.0974      39.4676
     473      24.1923      40.8992
     474      24.1543      39.4587
     475      24.1094      38.1005
     476      24.2223      39.0249
     477      24.0312      35.1446
     478      24.1390      49.4449
     479      24.1979      48.9484
     480      24.1574      34.3473
     481      24.0488      34.6004
     482      24.0855      48.8826
     483      24.1524      48.7539
     484      24.1633      48.7513
     485      24.0096      48.6965
     486      24.0532      48.7198
     487      24.1407      48.7011
     488      24.1033      48.1642
     489      24.1920      48.6763
     490      24.2281      48.9751
     491      24.2301      48.6993
     492      24.1717      48.1259
     493      24.0640      48.9357
     494      24.1615      48.8427
     495      24.1064      47.9155
     496      24.0141      47.1204
     497      24.0058      47.2694
     498      24.0699      47.6756
     499      24.1402      47.2521
     500      24.1420      48.8728
     501      24.0858      47.6567
     502      24.0541      47.5722
     503      24.1552      47.4313
     504      24.2221      47.5791
     505      24.2239      47.6085
     506      24.2795      47.7753
     507      24.2228      48.6555
     508      24.2408      48.6629
     509      24.1509      48.6226
     510      24.2653      49.2131
     511      24.1807      50.1783
     512      24.0461      48.1384
     513      24.2244      49.4940
     514      24.0595      48.8095
     515      23.9932      47.9738
     516      24.1137      48.6731
     517      23.8985      48.1271
     518      24.0851      49.3955
     519      24.0836      48.4303
     520      24.0136      47.9042
     521      24.1620      49.1883
     522      24.0987      48.2330
     523      24.0995      48.7895
     524      24.0890      48.6781
     525      24.2788      49.0939
     526      24.1118      48.8133
     527      24.0889      49.3406
     528      24.3774      48.9590
     529      24.2406      48.7901
     530      24.2566      48.2631
     531      24.2077      48.8804
     532      24.1169      48.8159
     533      24.1277      47.5861
     534      24.0936      47.8945
     535      23.9325      47.5132
     536      24.1716      48.1196
     537      23.9906      48.2137
     538      23.9649      47.2046
     539      24.1014      47.2317
     540      24.2115      48.7187
     541      24.1845      48.8456
     542      24.0450      48.9442
     543      24.0936      48.5786
     544      23.9798      47.8712
     545      24.0803      48.5009
     546      24.0389      48.3757
     547      24.0714      48.0167
     548      24.0521      48.3120
     549      24.0604      47.8619
     550      23.9692      48.0513
     551      24.1179      48.4687
     552      24.0244      49.0851
     553      24.1052      49.1490
     554      24.1831      49.4668
     555      24.1048      49.5291
     556      24.1481      49.8897
