#Frame      Mn1_Ox_OZ    Mn1_Ox_OY    Mn1_Ox_OX
     361       2.2423       4.1981       2.5556
     362       2.1564       4.1270       2.3706
     363       2.1912       4.1787       2.3647
     364       2.1267       4.1096       2.2728
     365       2.0092       4.0044       2.4932
     366       2.0590       4.0622       2.5290
     367       2.0580       4.0737       2.4715
     368       2.1318       3.9786       2.1364
     369       2.1648       4.0658       2.3355
     370       2.0172       3.8808       2.3553
     371       2.1144       4.0272       2.3941
     372       1.9906       3.9428       2.3035
     373       2.1011       4.0785       2.5636
     374       2.1093       3.9718       2.4403
     375       2.1181       3.9448       2.5386
     376       2.1591       4.1079       2.1813
     377       2.0224       3.7633       2.5000
     378       2.1492       4.0327       2.3233
     379       2.1939       4.1251       2.2344
     380       2.1521       4.1236       2.5861
     381       2.0813       3.9532       2.3521
     382       1.9149       4.0758       2.3565
     383       2.1013       4.0593       2.2579
     384       2.0947       4.0112       2.3335
     385       1.9979       4.0614       2.4775
     386       2.0513       4.0237       2.4163
     387       2.1737       3.9452       2.2064
     388       2.1381       4.0746       2.2490
     389       2.0505       4.0441       2.3174
     390       1.9917       3.8896       2.3845
     391       2.0585       4.0276       2.4283
     392       2.0890       3.9793       2.3671
     393       2.0573       3.9954       2.1650
     394       2.0512       4.0210       2.3902
     395       2.0635       4.0430       2.3882
     396       2.0299       3.9481       2.3265
     397       2.1328       4.1199       2.4171
     398       2.1531       4.0783       2.2996
     399       2.2139       4.1735       2.2901
     400       2.1718       4.0682       2.5890
     401       2.1750       4.1309       2.5969
     402       1.9574       3.8936       2.3313
     403       2.1554       4.1494       2.4818
     404       2.1700       4.0964       2.4044
     405       2.0715       4.0875       2.2700
     406       2.2000       4.2569       2.4184
     407       2.0412       3.9890       2.3264
     408       2.0236       4.0178       2.2849
     409       2.1553       4.0509       2.3121
     410       2.1350       4.0769       2.2828
     411       2.0926       4.0301       2.2608
     412       2.1441       4.1015       2.3836
     413       2.0263       4.0285       2.2460
     414       2.1885       4.0600       2.3679
     415       1.9225       3.8997       2.2067
     416       1.9995       3.9845       2.2144
