#Frame            RoG     RoG[Max]
     358      24.3210      46.4602
     359      24.2849      46.0701
     360      24.1812      46.4914
     361      24.2203      45.9794
     362      24.0883      45.8816
     363      24.1720      45.3789
     364      24.1078      45.6112
     365      24.3445      46.1415
     366      24.2983      45.8584
     367      24.1977      46.0870
     368      24.1558      45.8656
     369      24.1093      46.6102
     370      24.1680      46.0245
     371      24.1493      46.4898
     372      24.2621      47.6070
     373      24.2226      46.7745
     374      24.2488      46.1634
     375      24.1987      45.6836
     376      24.1508      46.1071
     377      24.1261      46.4839
     378      24.0419      46.3371
     379      24.1154      46.7258
     380      24.1490      46.6676
     381      24.2012      46.6742
     382      24.1697      46.4253
     383      24.1755      46.8152
     384      24.0942      46.8990
     385      24.1138      47.2482
     386      24.1346      47.5911
     387      24.2643      47.1525
     388      24.1557      47.4005
     389      24.1458      47.7884
     390      24.1886      48.0252
     391      24.2279      47.9181
     392      24.2788      48.1185
     393      24.1752      47.5413
     394      24.2816      48.0658
     395      24.3130      48.2607
     396      24.3189      48.0649
     397      24.3044      48.1973
     398      24.3534      48.2766
     399      24.4395      49.2569
     400      24.3454      48.9844
     401      24.3118      49.3021
     402      24.2984      48.8529
     403      24.2566      48.3281
     404      24.3687      48.5706
     405      24.4090      48.9765
     406      24.3954      48.5362
     407      24.4090      48.9140
     408      24.4775      48.7080
     409      24.3554      48.2992
     410      24.2559      48.3200
     411      24.2740      47.9493
     412      24.3897      48.3008
     413      24.3278      48.0318
     414      24.3839      48.3744
     415      24.4815      48.7080
     416      24.5108      48.8271
     417      24.3931      48.3505
     418      24.5180      48.7378
     419      24.4060      48.6025
     420      24.4073      48.1250
     421      24.5419      48.4042
     422      24.5246      48.7660
     423      24.5040      48.2069
     424      24.5227      48.3022
     425      24.4983      48.5733
     426      24.3470      48.3247
     427      24.3270      47.6133
     428      24.2892      47.2350
     429      24.4228      47.6146
     430      24.4167      47.7368
     431      24.4134      47.8782
     432      24.4548      49.1246
     433      24.3984      48.3395
     434      24.3734      48.5600
     435      24.3116      47.3718
     436      24.4078      47.6508
     437      24.3196      46.5445
     438      24.2592      46.1494
     439      24.3001      45.4607
     440      24.2758      46.3004
     441      24.2184      46.1023
     442      24.1898      46.2793
     443      24.3234      46.7855
     444      24.2624      46.7918
     445      24.3703      46.6465
     446      24.4134      47.3337
     447      24.2647      45.7453
     448      24.2925      45.2551
     449      24.2582      46.1748
     450      24.2256      45.5746
     451      24.2804      45.4312
     452      24.1206      45.3958
     453      24.1826      45.1237
     454      24.2546      45.7018
     455      24.2713      45.9777
     456      24.4027      46.6891
     457      24.2625      46.1022
     458      24.3485      46.1446
     459      24.1920      46.6034
     460      24.3192      46.9800
     461      24.2442      45.7680
     462      24.2589      46.7070
     463      24.2975      47.1871
     464      24.2413      47.2952
     465      24.3088      47.5052
     466      24.3696      47.4251
     467      24.3467      47.5517
     468      24.2374      47.2510
     469      24.3755      48.2703
     470      24.3901      47.4800
     471      24.2905      47.5434
     472      24.3025      47.5937
     473      24.3335      48.2748
     474      24.2981      47.9326
     475      24.2178      47.9400
     476      24.3305      47.7907
     477      24.3173      47.0884
     478      24.3204      47.0545
     479      24.3781      47.6784
     480      24.3375      47.5733
     481      24.4791      48.1762
     482      24.3157      47.4318
     483      24.2836      47.9440
     484      24.3774      47.9115
     485      24.4531      48.4656
     486      24.3960      47.8500
     487      24.3322      48.0952
     488      24.4863      48.5672
     489      24.4500      48.5840
     490      24.4561      48.5243
     491      24.4789      48.4219
     492      24.4389      48.0054
     493      24.4102      48.4234
     494      24.4686      48.5041
     495      24.3678      48.1440
     496      24.3789      49.0205
     497      24.3187      47.7521
     498      24.4036      48.4671
     499      24.3827      47.8323
     500      24.4074      49.0257
     501      24.4413      48.8024
     502      24.5978      49.4409
     503      24.3965      48.4630
     504      24.3866      48.3818
     505      24.3614      47.1103
     506      24.2986      47.1927
     507      24.1457      46.5744
     508      24.1812      46.6726
     509      24.2983      47.5212
     510      24.2398      47.2606
     511      24.1907      46.7623
     512      24.2859      47.7477
     513      24.1698      46.8513
     514      24.3336      47.6038
     515      24.3539      47.7755
     516      24.3869      48.1460
     517      24.3686      47.9139
     518      24.2571      47.4509
     519      24.2184      47.4768
     520      24.3448      47.8110
     521      24.3785      47.6503
     522      24.2847      47.3698
     523      24.2187      46.9774
     524      24.2319      46.7428
     525      24.1892      47.2698
     526      24.1563      47.2258
     527      24.2560      46.3647
     528      24.2266      47.2635
     529      24.2892      46.7984
     530      24.3166      47.0863
     531      24.2756      47.6817
     532      24.3378      47.9753
     533      24.2545      47.6192
     534      24.3913      48.5335
     535      24.2522      47.9180
     536      24.2769      47.2473
     537      24.2180      47.0300
     538      24.2198      47.4290
     539      24.2557      48.2646
     540      24.3674      48.5412
     541      24.1216      47.5780
     542      24.1222      47.4026
     543      24.3251      48.0583
     544      24.3761      48.1427
     545      24.3862      48.2851
     546      24.3974      48.5473
     547      24.2968      48.6166
     548      24.3634      49.1673
     549      24.2760      48.7362
     550      24.2976      47.9206
     551      24.2261      47.5632
     552      24.2299      47.1575
     553      24.3404      47.7093
     554      24.2509      47.6112
     555      24.1866      46.8910
     556      24.1440      46.6290
     557      24.2150      47.3013
     558      24.2767      47.0249
     559      24.3071      46.4266
     560      24.3906      47.0154
     561      24.4402      47.8055
     562      24.4692      47.5356
     563      24.2203      46.4382
     564      24.2306      46.7442
     565      24.0975      45.6810
     566      24.1585      45.9192
     567      24.1112      45.4995
     568      24.0974      45.8296
     569      24.2061      46.3341
     570      24.2662      47.3142
     571      24.2598      47.4604
     572      24.2825      47.3245
     573      24.3007      48.0300
     574      24.1999      47.7271
     575      24.2189      47.0110
     576      24.2398      48.1245
     577      24.3189      48.5957
     578      24.1651      47.4589
     579      24.1273      46.4820
     580      24.1462      46.9525
     581      24.2392      47.6790
     582      24.2179      47.0511
     583      24.3207      47.2918
     584      24.2295      46.4914
     585      24.1040      45.4002
     586      24.0420      45.5671
     587      24.2294      46.2770
     588      24.1721      45.5205
     589      24.1804      46.3452
     590      24.1727      46.4537
     591      24.1373      46.1636
     592      24.1619      46.7069
     593      24.1962      46.7101
     594      24.3180      47.4327
     595      24.2725      47.5986
     596      24.1550      46.7364
     597      24.0579      46.6448
     598      24.1715      47.2862
     599      24.0848      46.1101
     600      24.2650      46.6681
     601      24.2605      47.0500
     602      24.1699      46.4201
     603      24.1471      46.6476
     604      24.3382      48.2016
     605      24.3242      47.8953
     606      24.3102      48.1859
     607      24.1886      48.0322
     608      24.2431      47.5842
     609      24.1688      46.5086
     610      24.3027      47.0121
     611      24.3246      47.5806
     612      24.2568      46.6421
     613      24.2161      46.4818
     614      24.0536      45.9964
     615      24.2183      47.6885
     616      24.1637      47.6205
     617      24.2747      47.0221
     618      24.3201      47.7392
     619      24.3129      47.8967
