#Frame            RoG     RoG[Max]
     331      24.1318      46.9948
     332      24.1358      47.4366
     333      24.1415      47.9309
     334      24.1249      47.5355
     335      24.1573      47.4336
     336      24.1209      46.6103
     337      24.2142      46.5396
     338      24.2605      47.4223
     339      24.2680      48.2398
     340      24.2138      47.4898
     341      24.2240      47.2447
     342      24.2225      47.1613
     343      23.9782      45.9887
     344      24.1285      46.0604
     345      24.0858      46.7894
     346      24.1806      47.2546
     347      24.1353      47.5563
     348      24.1521      46.9190
     349      24.1400      47.1980
     350      24.1062      47.1513
     351      24.1397      46.0980
     352      24.2143      46.9089
     353      24.2239      47.5659
     354      24.2400      47.3256
     355      24.2082      46.3315
     356      24.2014      46.6063
     357      24.0790      46.2222
     358      24.0286      46.5790
     359      24.0338      45.6550
     360      24.0207      46.0165
     361      24.1087      46.1323
     362      24.1137      45.7661
     363      24.1255      46.3084
     364      24.1096      46.4199
     365      24.0629      46.0878
     366      23.9208      45.8607
     367      24.0347      46.0102
     368      24.1610      46.4792
     369      24.1423      46.2817
     370      24.0243      45.1740
     371      24.0843      46.0341
     372      24.1423      46.1759
     373      24.1742      45.4441
     374      24.0827      45.6881
     375      24.0534      46.0676
     376      24.1311      45.9622
     377      24.1293      45.5633
     378      24.0821      45.8155
     379      24.2134      45.5586
     380      24.2167      46.4169
     381      24.1755      46.3317
     382      24.1326      45.8307
     383      24.0718      46.1139
     384      23.9363      45.3119
     385      24.1840      45.9650
     386      24.1885      45.8891
     387      24.1418      45.6926
     388      24.0408      44.9871
     389      24.1078      45.0355
     390      24.0159      44.8630
     391      24.1182      45.0929
     392      24.0430      44.8947
     393      24.1610      44.8123
     394      24.2280      45.6168
     395      24.1095      45.0217
     396      24.1599      45.2842
     397      24.2492      46.5627
     398      24.1568      45.0748
     399      24.2181      45.7815
     400      24.1455      45.4620
     401      24.1643      45.7698
     402      24.1448      45.8373
     403      24.1874      45.9682
     404      24.0072      45.3550
     405      24.1459      46.2974
     406      24.0903      46.1891
     407      24.1016      46.7376
     408      24.2474      46.8713
     409      24.2188      46.9768
     410      24.2245      47.1514
     411      24.1898      46.5239
     412      24.2556      46.8169
     413      24.2659      46.5022
     414      24.1809      46.0209
     415      24.1778      45.7021
     416      24.1369      46.0274
     417      24.1886      45.9551
     418      24.2435      46.8099
     419      24.3172      46.9478
     420      24.1548      46.8200
     421      24.0996      45.5456
     422      24.1396      46.1382
     423      24.2537      45.8409
     424      24.1800      46.1346
     425      24.1584      46.2008
     426      23.9740      45.0115
     427      23.9697      45.0279
     428      24.0178      44.5924
     429      24.0902      45.0352
     430      24.1449      45.3917
     431      23.9547      45.2719
     432      24.0183      45.6874
     433      23.9523      45.1484
     434      23.9749      45.2625
     435      23.9584      45.1310
     436      23.9376      45.5146
     437      24.0314      45.7195
     438      24.0405      45.5846
     439      24.0568      45.6898
     440      24.0386      45.9489
     441      24.0431      46.7918
     442      24.0707      46.8119
     443      24.1675      47.4753
     444      24.0722      46.0587
     445      24.1058      46.1991
     446      24.0044      45.9025
     447      24.2240      46.1689
     448      24.1602      45.3648
     449      24.1929      45.7142
     450      24.2430      45.8541
     451      24.1454      45.3119
     452      24.0908      45.1584
     453      23.9628      45.2334
     454      24.0693      44.9046
     455      24.1814      45.1532
     456      24.1247      44.5802
     457      24.1404      44.6892
     458      24.2184      44.9704
     459      24.0805      45.3295
     460      24.1533      44.8180
     461      23.9673      44.4439
     462      24.1114      44.8555
     463      24.0723      45.3954
     464      24.0487      45.4951
     465      24.0949      46.6145
     466      24.1421      46.2305
     467      24.2246      46.5615
     468      24.3241      46.3597
     469      24.2471      46.9481
     470      24.2220      46.5959
     471      24.2613      46.3912
     472      24.0684      45.7182
     473      24.1614      46.7967
     474      24.1393      45.9986
     475      24.1043      45.5469
     476      24.2165      45.4108
     477      24.0251      44.9928
     478      24.1507      46.2225
     479      24.2070      46.2254
     480      24.1454      45.5282
     481      24.0424      44.8902
     482      24.0848      45.5528
     483      24.1435      45.7065
     484      24.1678      45.6151
     485      24.0069      45.2768
     486      24.0488      45.6016
     487      24.1398      45.9965
     488      24.1128      45.1644
     489      24.1863      45.3661
     490      24.2264      45.8495
     491      24.2265      46.0226
     492      24.1660      45.3919
     493      24.0312      45.3479
     494      24.1529      46.3028
     495      24.0997      45.0161
     496      24.0132      45.6347
     497      24.0036      44.5022
     498      24.0734      44.3179
     499      24.1294      45.2795
     500      24.1488      44.9618
     501      24.0947      44.6616
     502      24.0546      44.7308
     503      24.1569      44.4519
     504      24.2219      45.1827
     505      24.2070      44.3004
     506      24.2742      44.9790
     507      24.1954      45.4733
     508      24.2230      45.4169
     509      24.1476      45.8098
     510      24.2695      46.7600
     511      24.1655      46.3641
     512      24.0277      45.3470
     513      24.2263      45.3312
     514      24.0527      45.4469
     515      23.9786      45.1714
     516      24.0849      45.6192
     517      23.8724      45.0908
     518      24.0454      45.4120
     519      24.0501      45.4735
     520      23.9938      44.8257
     521      24.1514      46.2372
     522      24.0825      45.6523
     523      24.0715      45.4825
     524      24.0549      45.3929
     525      24.2706      45.8996
     526      24.0905      45.5801
     527      24.0869      46.3485
     528      24.3672      46.6268
     529      24.2303      45.5897
     530      24.2365      45.8680
     531      24.1743      46.0949
     532      24.0775      45.7953
     533      24.1132      45.1902
     534      24.0683      45.1771
     535      23.9173      45.1851
     536      24.1439      45.5778
     537      23.9520      45.3921
     538      23.9401      45.2590
     539      24.0893      45.0458
     540      24.1967      45.9839
     541      24.1698      46.1069
     542      24.0361      45.9863
     543      24.0906      45.8757
     544      23.9830      45.5837
     545      24.0702      45.3830
     546      24.0322      45.5909
     547      24.0830      45.5302
     548      24.0325      45.8587
     549      24.0523      44.9015
     550      23.9584      44.8811
     551      24.1076      45.4866
     552      24.0154      45.6934
     553      24.1017      46.1975
     554      24.1835      46.1613
     555      24.0911      46.5314
     556      24.1369      46.4405
     557      23.9860      45.1983
     558      23.9525      45.1265
     559      24.0904      45.8480
     560      24.0308      45.1157
     561      24.0194      45.1010
     562      24.0930      44.7900
     563      24.0805      45.3931
     564      23.9814      45.3334
     565      23.9240      45.3210
     566      23.9102      44.5866
     567      23.9371      44.8989
     568      23.9778      45.2983
     569      24.0496      45.6294
     570      23.9397      45.0562
     571      23.8489      44.8553
     572      23.9844      45.1157
     573      23.9579      45.1691
     574      24.0042      44.6835
     575      23.9924      44.5247
     576      23.8680      44.3888
     577      23.9093      44.2827
     578      23.9006      44.4236
     579      23.8989      44.6402
     580      23.9450      44.7625
     581      23.9589      45.2966
     582      24.0589      45.1660
     583      24.0169      45.1270
     584      23.9023      44.2709
     585      23.8279      45.1073
     586      23.8686      44.7176
     587      23.8446      44.6330
     588      23.9376      44.6053
     589      23.9031      44.6074
     590      23.9147      44.7100
     591      23.8674      44.6115
     592      23.8315      45.0828
     593      23.8267      44.4343
     594      23.8786      44.2742
     595      23.8346      44.6085
     596      23.8286      44.6275
     597      23.8734      44.7620
     598      23.9383      44.9626
     599      23.9356      44.7008
     600      24.0313      45.0670
     601      23.8935      44.3537
     602      23.9752      44.9855
     603      24.0301      44.3620
     604      23.9470      45.3225
     605      24.0210      45.1607
     606      24.0342      45.1369
     607      24.1980      45.8732
     608      24.0873      45.5402
     609      24.0060      44.7933
