#Frame      Mn1_Ox_OZ    Mn1_Ox_OY    Mn1_Ox_OX
     731       2.0369       4.0324       2.3549
     732       2.1489       4.0660       2.3199
     733       2.0138       3.9736       2.5402
     734       2.0609       4.1374       2.3255
     735       1.9377       3.9364       2.3901
     736       2.1768       4.0970       2.4051
     737       1.9960       3.9892       2.4369
     738       2.1825       4.2387       2.5473
     739       2.1060       4.0544       2.3243
     740       2.1193       4.1010       2.1339
     741       2.2585       4.1562       2.1910
     742       2.1580       4.0650       2.3810
     743       2.1056       4.0215       2.3809
     744       2.1266       4.0611       2.5225
     745       2.0941       4.0731       2.3631
     746       2.1601       4.1626       2.6209
     747       2.0696       4.0373       2.3600
     748       2.1146       4.1271       2.4623
     749       2.1553       4.1999       2.3847
     750       2.1933       4.1463       2.3872
     751       2.1679       4.1161       2.3642
     752       2.1541       4.1587       2.5323
     753       2.1594       3.9737       2.0868
     754       1.9832       3.9595       2.1628
     755       2.1183       4.1414       2.2487
     756       2.2066       4.1717       2.3380
     757       2.0696       4.0617       2.2405
     758       1.9639       3.9766       2.5080
     759       2.0515       4.0247       2.4648
     760       2.0955       4.0372       2.3587
     761       2.0767       4.1667       2.3074
     762       2.1346       4.0944       2.3834
     763       2.1795       4.0712       2.3310
     764       2.1645       4.1656       2.3553
     765       2.2833       4.0272       2.0919
     766       2.1645       4.0440       2.5135
     767       2.1359       4.0916       2.4306
     768       2.1954       4.1046       2.4407
     769       2.0954       4.1823       2.5217
     770       2.1295       4.0217       2.4344
